2025-03-30 06:17:24,270 - INFO - Popup Closer started
2025-03-30 07:24:24,158 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:25,093 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:26,070 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:27,070 - INFO - Closed popup using 'badspam.png' at position 708, 247
2025-03-30 07:24:28,072 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:29,070 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:30,089 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:31,072 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:32,073 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:33,071 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:34,071 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:35,070 - INFO - Closed popup using 'badspam.png' at position 708, 247
2025-03-30 07:24:36,067 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:37,066 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:38,070 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:39,045 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:40,058 - INFO - Closed popup using 'badspam.png' at position 708, 265
2025-03-30 07:48:02,749 - INFO - Closed popup using 'close_button.png' at position 1552, 320
2025-03-30 08:02:47,446 - INFO - Closed popup using 'badspam.png' at position 619, 243
2025-03-30 08:02:48,596 - INFO - Closed popup using 'badspam.png' at position 619, 243
2025-03-30 08:02:49,736 - INFO - Closed popup using 'badspam.png' at position 619, 243
2025-03-30 08:02:50,870 - INFO - Closed popup using 'badspam.png' at position 619, 243
2025-03-30 08:02:52,095 - INFO - Closed popup using 'badspam.png' at position 619, 243
2025-03-30 08:02:53,285 - INFO - Closed popup using 'badspam.png' at position 619, 243
2025-03-30 08:13:33,507 - INFO - Closed popup using 'badspam.png' at position 1544, 956
2025-03-30 08:20:38,949 - INFO - Closed popup using 'badspam.png' at position 1717, 756
2025-03-30 08:20:40,058 - INFO - Closed popup using 'badspam.png' at position 1717, 756
2025-03-30 08:20:41,188 - INFO - Closed popup using 'badspam.png' at position 1717, 756
2025-03-30 08:20:42,737 - INFO - Closed popup using 'badspam.png' at position 1717, 756
2025-03-30 08:20:44,300 - INFO - Closed popup using 'badspam.png' at position 1717, 756
2025-03-30 08:20:45,724 - INFO - Closed popup using 'badspam.png' at position 1717, 756
2025-03-30 08:20:47,058 - INFO - Closed popup using 'badspam.png' at position 1717, 756
2025-03-30 08:21:49,024 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:50,027 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:51,030 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:52,028 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:53,035 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:54,028 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:55,025 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:56,027 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:57,023 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:58,045 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:21:59,048 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:22:00,051 - INFO - Closed popup using 'badspam.png' at position 1711, 902
2025-03-30 08:22:01,086 - INFO - Closed popup using 'badspam.png' at position 1511, 149
2025-03-30 08:22:02,070 - INFO - Closed popup using 'badspam.png' at position 1836, 390
2025-03-30 08:22:03,072 - INFO - Closed popup using 'badspam.png' at position 1836, 390
2025-03-30 08:22:04,062 - INFO - Closed popup using 'badspam.png' at position 1836, 390
2025-03-30 08:22:05,039 - INFO - Closed popup using 'badspam.png' at position 1836, 390
2025-03-30 08:22:06,037 - INFO - Closed popup using 'badspam.png' at position 1836, 390
2025-03-30 08:22:07,038 - INFO - Closed popup using 'badspam.png' at position 1836, 390
2025-03-30 08:24:39,611 - INFO - Closed popup using 'badspam.png' at position 1779, 590
2025-03-30 08:27:42,892 - INFO - Closed popup using 'badspam.png' at position 1596, 957
2025-03-30 08:31:46,676 - INFO - Closed popup using 'badspam.png' at position 1584, 959
2025-03-30 08:36:26,549 - INFO - Closed popup using 'badspam.png' at position 1548, 832
2025-03-30 08:36:27,567 - INFO - Closed popup using 'badspam.png' at position 1548, 832
2025-03-30 08:36:28,660 - INFO - Closed popup using 'badspam.png' at position 1548, 832
2025-03-30 08:36:29,756 - INFO - Closed popup using 'badspam.png' at position 1548, 832
2025-03-30 08:36:30,756 - INFO - Closed popup using 'badspam.png' at position 1548, 832
2025-03-30 08:36:31,769 - INFO - Closed popup using 'badspam.png' at position 1548, 832
2025-03-30 08:36:32,779 - INFO - Closed popup using 'badspam.png' at position 1548, 832
2025-03-30 08:36:33,775 - INFO - Closed popup using 'badspam.png' at position 1620, 868
2025-03-30 08:55:22,457 - INFO - Closed popup using 'badspam.png' at position 1792, 478
2025-03-30 08:55:53,916 - INFO - Closed popup using 'badspam.png' at position 1792, 478
2025-03-30 08:55:55,015 - INFO - Closed popup using 'badspam.png' at position 1735, 390
2025-03-30 08:55:56,026 - INFO - Closed popup using 'badspam.png' at position 1735, 390
2025-03-30 08:55:57,028 - INFO - Closed popup using 'badspam.png' at position 1735, 390
2025-03-30 08:55:58,021 - INFO - Closed popup using 'badspam.png' at position 1735, 390
2025-03-30 08:56:29,727 - INFO - Closed popup using 'badspam.png' at position 1792, 319
2025-03-30 09:04:13,131 - INFO - Closed popup using 'badspam.png' at position 1678, 667
2025-03-30 09:04:14,172 - INFO - Closed popup using 'badspam.png' at position 1678, 699
2025-03-30 09:04:15,176 - INFO - Closed popup using 'badspam.png' at position 1678, 549
2025-03-30 09:08:50,928 - INFO - Closed popup using 'badspam.png' at position 1575, 959
2025-03-30 09:08:52,120 - INFO - Closed popup using 'badspam.png' at position 1575, 959
2025-03-30 09:09:54,457 - INFO - Closed popup using 'badspam.png' at position 1575, 959
2025-03-30 09:09:55,980 - INFO - Closed popup using 'badspam.png' at position 1575, 959
2025-03-30 09:10:28,070 - INFO - Closed popup using 'badspam.png' at position 1609, 977
2025-03-30 09:11:30,493 - INFO - Closed popup using 'badspam.png' at position 1609, 977
2025-03-30 09:11:31,502 - INFO - Closed popup using 'badspam.png' at position 1609, 977
